Provincia,Longitud de costa (km)[2][3]_9,Superficie (km²)[2]_10,Comunidad autónoma,Capital,Ciudad más poblada*,Población,Presupuesto (€),Densidad (hab./km²),Superficie (km²),Código postal,Código Ministerio del Interior,Órgano de gobierno y administración,Sede (ciudad),Extranjeros totales,% de extranjeros,2016,2017,2018,2019,2020,2021,2022,2023,TCAC 2016-23,Porcentaje población,Porcentaje superficie
Albacete,,14 924,Castilla-La Mancha,Albacete,Albacete,390751,179014529.0,26.18,,2,AB,Diputación de Albacete,Palacio Provincial de Albacete (Albacete),32439,7.4,7570409,7992903,8285269,8627212,8010434,8853382,9526877,10285196,35.86,0.8,2.95
Alicante,244,5817,Comunidad Valenciana,Alicante,Alicante,2033566,313871224.0,349.59,5816.0,3,A,Diputación de Alicante,Palacio Provincial de Alicante (Alicante),456257,21.8,33899084,35422930,36463569,37807882,34503374,38470028,41939432,46472807,37.09,4.14,1.15
Almería,249,8775,Andalucía,Almería,Almería,770554,225750000.0,87.81,8774.0,4,AL,Diputación de Almería,Edificio de la Diputación Provincial de Almería (Almería),168886,17.3,14185706,15159388,15282092,16003582,14764342,14861150,16494994,18250223,28.65,1.57,1.73
Araba/Álava,,3037,País Vasco,Vitoria,Vitoria,341961,434606945.0,112.6,,1,VI,Diputación Foral de Álava,Palacio de la Diputación Foral de Álava (Vitoria),36831,9.1,11960737,12336129,12721159,12797528,11764228,11958641,12838267,14090604,17.81,0.7,0.6
Asturias,401,10 604,Principado de Asturias,Oviedo,Gijón,1015128,291900000.0,95.73,10603.0,33,O,No tiene[1]​,No tiene[1]​,58387,12.5,21675441,22538267,23185680,23666618,21376392,23617641,26690102,28350371,30.79,2.07,2.1
Badajoz,,21 766,Extremadura,Badajoz,Badajoz,665155,122565847.0,30.56,,6,BA,Diputación de Badajoz,,25469,6.6,11776505,12419839,12609609,12838980,11979224,12729424,13644123,14927003,26.75,1.35,4.3
Barcelona,161,7728,Cataluña,Barcelona,Barcelona,5959941,3595900000.0,771.21,7733.0,8,B,Diputación de Barcelona,Casa Serra (Barcelona),1015499,22.3,158516150,166618005,173436258,180560179,161885097,173917445,191251096,209563285,32.2,12.13,1.53
Bizkaia,154,2217,País Vasco,Bilbao,Bilbao,1167233,663500000.0,526.49,2217.0,48,BI,Diputación Foral de Vizcaya,Palacio de la Diputación Foral de Vizcaya (Bilbao),105893,14.6,33686330,34314272,35599877,36737656,33016596,35910195,41009633,44229902,31.3,2.38,0.44
Burgos,,14 292,Castilla y León,Burgos,Burgos,362663,220000000.0,25.38,,9,BU,Diputación de Burgos,,35158,8.2,9572090,10054308,10494196,10628487,9620320,10224118,10709841,11303996,18.09,0.74,2.82
Cantabria,284,5321,Cantabria,Santander,Santander,593623,223600000.0,111.56,5325.0,39,S,No tiene[4]​,No tiene[4]​,44242,9.8,12833899,13318023,13843935,14274351,12991241,14206538,15557155,16740663,29.93,1.21,1.05
Castellón,139,6636,Comunidad Valenciana,Castellón de la Plana,Castellón de la Plana,627620,214539390.0,94.21,6632.0,12,CS,Diputación de Castellón,,107330,14.7,14223009,15506038,15685255,16135189,14341241,15775645,17355828,17661943,24.18,1.28,1.32
Ceuta,26,19,Ceuta,-,-,83567,,4178.35,19.0,51,CE,,,5085,3.4,1537398,1553567,1611648,1659979,1535718,1634006,1766735,1862863,21.17,0.17,0.004
Ciudad Real,,19 813,Castilla-La Mancha,Ciudad Real,Ciudad Real,494848,77173538.0,24.98,,13,CR,Diputación de Ciudad Real,Palacio de la Diputación Provincial de Ciudad Real (Ciudad Real),36574,8.5,10345475,10690171,10906668,11016000,10182564,10481171,12249078,12447343,20.32,1.01,3.92
Cuenca,,17 140,Castilla-La Mancha,Cuenca,Cuenca,199859,100110251.0,11.66,,16,CU,Diputación de Cuenca,,27228,6.9,4290139,4421111,4599762,4587758,4253677,4975017,5645595,5859753,36.59,0.41,3.39
Cáceres,,19 868,Extremadura,Cáceres,Cáceres,388190,170809446.0,19.54,,10,CC,Diputación de Cáceres,,16608,4.9,7292966,7749707,8103645,8327152,7518119,8822093,9842522,10265612,40.76,0.79,3.93
Cádiz,285,7440,Andalucía,Cádiz,Jerez de la Frontera,1261420,190171566.0,169.55,7436.0,11,CA,Diputación de Cádiz,Palacio de la Aduana (Cádiz),62166,12.7,20879560,21860392,22462629,23352580,20477353,22876782,25860425,26783989,28.28,2.57,1.47
Córdoba,,13 771,Andalucía,Córdoba,Córdoba,773163,552000000.0,56.14,,14,CO,Diputación de Córdoba,Palacio de la Merced (Córdoba),26537,6.9,13567313,14113022,14292383,14237228,13134510,14512133,15518254,17217243,26.9,1.57,2.72
Gipuzkoa,92,1980,País Vasco,San Sebastián,San Sebastián,733149,461900000.0,370.28,1909.0,20,SS,Diputación Foral de Guipúzcoa,,70347,12.7,21467926,22934894,23594075,24464797,21891774,24644193,26370267,28427601,32.42,1.49,0.39
Girona,260,5910,Cataluña,Gerona,Gerona,830429,132255950.0,140.51,5910.0,17,GE / GI,Diputación de Gerona,,178578,17.5,20769493,20612222,21178933,22059649,19755932,23348038,26290879,29157484,40.39,1.69,1.17
Granada,79,12 647,Andalucía,Granada,Granada,945797,307100186.0,74.78,12531.0,18,GR,Diputación de Granada,,79669,13.6,15888251,16314359,16798633,17538085,15967883,17357256,19181269,20836996,31.15,1.93,2.5
Guadalajara,,12 214,Castilla-La Mancha,Guadalajara,Guadalajara,285839,91000000.0,23.4,,19,GU,Diputación de Guadalajara,Palacio de la Diputación de Guadalajara (Guadalajara),43993,9.6,4750576,5106037,5379941,5647861,5225237,5804558,6782836,6878584,44.79,0.58,2.41
Huelva,122,10 128,Andalucía,Huelva,Huelva,538789,175000000.0,53.2,10148.0,21,H,Diputación de Huelva,,56526,12.4,9288980,10037865,10616525,10650577,9353422,10640222,12859210,13183665,41.93,1.1,2.0
Huesca,,15 636,Aragón,Huesca,Huesca,230087,58018000.0,14.72,,22,HU,Diputación de Huesca,,33393,7.5,6224092,6275164,6339722,6567333,6331038,6780105,7631866,8167881,31.23,0.47,3.09
Islas Baleares,1 283,4992,Islas Baleares,Palma,Palma,1249844,487000000.0,250.37,4992.0,7,PM / IB,No tiene[3]​,No tiene[3]​,254624,18.2,30223284,31746251,33185968,34350576,26669106,30512146,37189162,41502526,37.32,2.54,0.99
Jaén,,13 496,Andalucía,Jaén,Jaén,618143,317240000.0,45.8,,23,J,Diputación de Jaén,Palacio Provincial (Jaén),21416,6.1,10903626,11122181,11635259,11267290,10781405,11853935,11738138,13052058,19.7,1.26,2.67
La Coruña,956,7950,Galicia,La Coruña,La Coruña,1135623,375000000.0,142.83,7950.0,15,C,Diputación de La Coruña,,60256,12.5,25451524,26097818,27211854,27819424,25501350,27529654,31218140,33477736,31.54,2.31,1.57
La Rioja,,5045,La Rioja,Logroño,Logroño,326803,191500000.0,64.78,,26,LO,No tiene[5]​,No tiene[5]​,46625,10.6,8074094,8351707,8649852,8889997,8186915,8735750,9767469,10476650,29.76,0.67,1.0
Las Palmas,799,4066,Canarias,Las Palmas de Gran Canaria,Las Palmas de Gran Canaria,1171547,485000000.0,288.13,4066.0,35,GC,No tiene[6]​,No tiene[6]​,157102,15.5,21133454,22089679,22974312,23478690,19159502,21364107,25483866,28124631,33.08,2.38,0.8
León,,15 581,Castilla y León,León,León,448030,142305758.0,28.75,,24,LE,Diputación de León,Palacio de los Guzmanes (León),24291,6.3,9231953,9506147,9777598,10041788,9276493,10454424,11757261,12193704,32.08,0.91,3.08
Lleida,,12 172,Cataluña,Lérida,Lérida,458226,228000000.0,37.65,,25,L,Diputación de Lérida,Palacio de la Diputación de Lérida (Lérida),91408,14.4,12160547,11803319,12191707,12766171,11635303,12954308,13789781,15081546,24.02,0.93,2.41
Lugo,144,9856,Galicia,Lugo,Lugo,326022,118000000.0,33.08,9856.0,27,LU,Diputación de Lugo,,21142,5.8,7472883,7458900,7768980,7822876,6945138,7637441,8568467,9406547,25.88,0.66,1.95
Madrid,,8028,Comunidad de Madrid,Madrid,Madrid,7113886,5703000000.0,886.13,,28,M,No tiene[7]​,No tiene[7]​,1072173,23.0,214469101,224373156,233735808,243889359,221061932,239837609,267171570,295939562,37.99,14.48,1.59
Melilla,12,13,Melilla,-,-,87067,,7255.58,13.0,52,ML,,,11260,4.8,1452752,1466610,1510904,1560101,1452031,1534391,1655971,1753666,20.71,0.18,0.003
Murcia,274,11 314,Región de Murcia,Murcia,Murcia,1586989,451252695.0,140.27,11313.0,30,MU,No tiene[8]​,No tiene[8]​,242578,18.2,30009138,31192490,31715345,33000651,30440306,33603543,37380806,39838741,32.76,3.23,2.24
Málaga,175,7306,Andalucía,Málaga,Málaga,1791183,976600000.0,245.17,7308.0,29,MA,Diputación de Málaga,,320766,20.0,28513572,29891621,31204388,32530116,28516619,32619883,37226438,41235144,44.62,3.65,1.44
Navarra,,10 391,Comunidad Foral de Navarra,Pamplona,Pamplona,683854,259000000.0,65.81,,31,,No tiene[9]​,No tiene[9]​,84896,13.6,18911331,19698794,20235995,21070268,19160726,20821017,23204474,24975376,32.07,1.39,2.05
Ourense,,7273,Galicia,Orense,Orense,305278,103126070.0,41.97,,32,OR / OU,Diputación de Orense,,20924,5.4,6317422,6517804,6785155,7138919,6420384,7262638,8128954,8914517,41.11,0.62,1.44
Palencia,,8052,Castilla y León,Palencia,Palencia,158702,92868777.0,19.71,,34,P,Diputación de Palencia,Palacio de la Diputación de Palencia (Palencia),9356,3.8,4171878,4070286,4375118,4417915,4042436,4326851,4713440,5047540,20.99,0.32,1.59
Pontevedra,398,4495,Galicia,Pontevedra,Vigo,947818,120591629.0,210.86,4495.0,36,PO,Diputación de Pontevedra,Palacio de la Diputación de Pontevedra (Pontevedra),47105,10.9,19322194,20556330,20883374,21720786,20140306,21957653,23720820,25662611,32.81,1.93,0.89
Salamanca,,12 350,Castilla y León,Salamanca,Salamanca,328446,181471677.0,26.59,,37,SA,Diputación de Salamanca,Palacio de La Salina (Salamanca),20516,5.4,6511439,6692406,6894146,7149679,6583497,7386843,8647606,9604292,47.5,0.67,2.44
Santa Cruz de Tenerife,702,3381,Canarias,Santa Cruz de Tenerife,Santa Cruz de Tenerife,1087319,313500000.0,321.6,3381.0,38,TF,No tiene[10]​,No tiene[10]​,161983,15.8,19846216,20946160,21634954,22288142,18427897,20043168,23424330,25865458,30.33,2.21,0.67
