Provincia,Extranjeros totales_3,Provincia.1_3,% de extranjeros_3,Órgano de gobierno y administración_5,Sede (ciudad)_5,Comunidad autónoma_5,Posición_7,2016_7,2017_7,2018_7,2019_7,2020_7,2021_7,2022_7,2023_7,TCAC 2016-23_7,Código postal_8,Código Ministerio del Interior_8,Posición_9,Superficie (km²)_9,Longitud de costa (km)[2]​[3]​_9,Puesto_10,Escudo_10,Población_10,Presupuesto (€)_10,Porcentaje población_10,Densidad (hab./km²)_10,Superficie (km²)[2]​_10,Porcentaje superficie_10,Mapa_10,Capital_10,Ciudad más poblada*_10,Comunidad autónoma_10
Albacete,32.439,Ciudad Real,74,Diputación de Albacete,Palacio Provincial de Albacete (Albacete),Castilla-La Mancha,37,7.570.409,7.992.903,8.285.269,8.627.212,8.010.434,8.853.382,9.526.877,10.285.196,"35,86%",2,AB,,,,34,,390 751,179 014 529,0.8 %,26.18,14 924,2.95 %,,Albacete,Albacete,Castilla-La Mancha
Alicante,456.257,Gerona,218,Diputación de Alicante,Palacio Provincial de Alicante (Alicante),Comunidad Valenciana,5,33.899.084,35.422.930,36.463.569,37.807.882,34.503.374,38.470.028,41.939.432,46.472.807,"37,09%",3,A,13,5816,244,4,,2 033 566,313 871 224,4.14 %,349.59,5817,1.15 %,,Alicante,Alicante,Comunidad Valenciana
Almería,168.886,Barcelona,173,Diputación de Almería,Edificio de la Diputación Provincial de Almería (Almería),Andalucía,22,14.185.706,15.159.388,15.282.092,16.003.582,14.764.342,14.861.150,16.494.994,18.250.223,"28,65%",4,AL,12,8774,249,21,,770 554,225 750 000,1.57 %,87.81,8775,1.73 %,,Almería,Almería,Andalucía
Araba/Álava,36.831,Vizcaya,91,Diputación Foral de Álava,Palacio de la Diputación Foral de Álava (Vitoria),País Vasco,30,11.960.737,12.336.129,12.721.159,12.797.528,11.764.228,11.958.641,12.838.267,14.090.604,"17,81%",1,VI,,,,37,,341 961,434 606 945,0.7 %,112.6,3037,0.6 %,,Vitoria,Vitoria,País Vasco
Asturias,58.387,Soria,125,No tiene[1]​,No tiene[1]​,Principado de Asturias,15,21.675.441,22.538.267,23.185.680,23.666.618,21.376.392,23.617.641,26.690.102,28.350.371,"30,79%",33,O,5,10 603,401,14,,1 015 128,291 900 000,2.07 %,95.73,10 604,2.1 %,,Oviedo,Gijón,Asturias
Badajoz,25.469,Lugo,66,Diputación de Badajoz,,Extremadura,29,11.776.505,12.419.839,12.609.609,12.838.980,11.979.224,12.729.424,13.644.123,14.927.003,"26,75%",6,BA,,,,25,,665 155,122 565 847,1.35 %,30.56,21 766,4.3 %,,Badajoz,Badajoz,Extremadura
Barcelona,1.015.499,Almería,223,Diputación de Barcelona,Casa Serra (Barcelona),Cataluña,2,158.516.150,166.618.005,173.436.258,180.560.179,161.885.097,173.917.445,191.251.096,209.563.285,"32,20%",8,B,15,7733,161,2,,5 959 941,3 595 900 000,12.13 %,771.21,7728,1.53 %,,Barcelona,Barcelona,Cataluña
Bizkaia,105.893,Huesca,146,Diputación Foral de Vizcaya,Palacio de la Diputación Foral de Vizcaya (Bilbao),País Vasco,6,33.686.330,34.314.272,35.599.877,36.737.656,33.016.596,35.910.195,41.009.633,44.229.902,"31,30%",48,BI,16,2217,154,11,,1 167 233,663 500 000,2.38 %,526.49,2217,0.44 %,,Bilbao,Bilbao,País Vasco
Burgos,35.158,Ávila,82,Diputación de Burgos,,Castilla y León,35,9.572.090,10.054.308,10.494.196,10.628.487,9.620.320,10.224.118,10.709.841,11.303.996,"18,09%",9,BU,,,,36,,362 663,220 000 000,0.74 %,25.38,14 292,2.82 %,,Burgos,Burgos,Castilla y León
Cantabria,44.242,Burgos,98,No tiene[4]​,No tiene[4]​,Cantabria,26,12.833.899,13.318.023,13.843.935,14.274.351,12.991.241,14.206.538,15.557.155,16.740.663,"29,93%",39,S,8,5325,284,28,,593 623,223 600 000,1.21 %,111.56,5321,1.05 %,,Santander,Santander,Cantabria
Castellón,107.330,Zaragoza,147,Diputación de Castellón,,Comunidad Valenciana,23,14.223.009,15.506.038,15.685.255,16.135.189,14.341.241,15.775.645,17.355.828,17.661.943,"24,18%",12,CS,18,6632,139,26,,627 620,214 539 390,1.28 %,94.21,6636,1.32%,,Castellón de la Plana,Castellón de la Plana,Comunidad Valenciana
Ceuta,5.085,Jaén,34,,,,51,1.537.398,1.553.567,1.611.648,1.659.979,1.535.718,1.634.006,1.766.735,1.862.863,"21,17%",51,CE,23,19,26,52,,83 567,-,0.17 %,4178.35,19,0.004 %,,-,-,Ceuta
Ciudad Real,36.574,Granada,85,Diputación de Ciudad Real,Palacio de la Diputación Provincial de Ciudad Real (Ciudad Real),Castilla-La Mancha,33,10.345.475,10.690.171,10.906.668,11.016.000,10.182.564,10.481.171,12.249.078,12.447.343,"20,32%",13,CR,,,,31,,494 848,77 173 538,1.01 %,24.98,19 813,3.92 %,,Ciudad Real,Ciudad Real,Castilla-La Mancha
Cuenca,27.228,Valladolid,69,Diputación de Cuenca,,Castilla-La Mancha,44,4.290.139,4.421.111,4.599.762,4.587.758,4.253.677,4.975.017,5.645.595,5.859.753,"36,59%",16,CU,,,,44,,199 859,100 110 251,0.41 %,11.66,17 140,3.39 %,,Cuenca,Cuenca,Castilla-La Mancha
Cáceres,16.608,Cádiz,49,Diputación de Cáceres,,Extremadura,38,7.292.966,7.749.707,8.103.645,8.327.152,7.518.119,8.822.093,9.842.522,10.265.612,"40,76%",10,CC,,,,35,,388 190,170 809 446,0.79 %,19.54,19 868,3.93 %,,Cáceres,Cáceres,Extremadura
Cádiz,62.166,Teruel,127,Diputación de Cádiz,Palacio de la Aduana (Cádiz),Andalucía,17,20.879.560,21.860.392,22.462.629,23.352.580,20.477.353,22.876.782,25.860.425,26.783.989,"28,28%",11,CA,7,7436,285,8,,1 261 420,190 171 566,2.57 %,169.55,7440,1.47 %,,Cádiz,Jerez de la Frontera,Andalucía
Córdoba,26.537,Orense,69,Diputación de Córdoba,Palacio de la Merced (Córdoba),Andalucía,24,13.567.313,14.113.022,14.292.383,14.237.228,13.134.510,14.512.133,15.518.254,17.217.243,"26,90%",14,CO,,,,20,,773 163,552 000 000,1.57 %,56.14,13 771,2.72 %,,Córdoba,Córdoba,Andalucía
Gipuzkoa,70.347,Segovia,127,Diputación Foral de Guipúzcoa,,País Vasco,14,21.467.926,22.934.894,23.594.075,24.464.797,21.891.774,24.644.193,26.370.267,28.427.601,"32,42%",20,SS,21,1909,92,23,,733 149,461 900 000,1.49 %,370.28,1980,0.39 %,,San Sebastián,San Sebastián,País Vasco
Girona,178.578,Castellón,175,Diputación de Gerona,,Cataluña,13,20.769.493,20.612.222,21.178.933,22.059.649,19.755.932,23.348.038,26.290.879,29.157.484,"40,39%",17,GE / GI,11,5910,260,19,,830 429,132 255 950,1.69 %,140.51,5910,1.17 %,,Gerona,Gerona,Cataluña
Granada,79.669,Melilla,136,Diputación de Granada,,Andalucía,21,15.888.251,16.314.359,16.798.633,17.538.085,15.967.883,17.357.256,19.181.269,20.836.996,"31,15%",18,GR,22,12 531,79,17,,945 797,307 100 186,1.93 %,74.78,12 647,2.5 %,,Granada,Granada,Andalucía
